obs,gaminvLL,gaminvUL
1159,1093.212365,1227.711673
1160,1094.183578,1228.740448
1161,1095.154802,1229.769211
1162,1096.12604,1230.797962
1163,1097.097289,1231.8267
1164,1098.068551,1232.855426
1165,1099.039825,1233.88414
1166,1100.011112,1234.912841
1167,1100.98241,1235.94153
1168,1101.953722,1236.970207
1169,1102.925045,1237.998872
1170,1103.896381,1239.027524
1171,1104.867728,1240.056164
1172,1105.839089,1241.084792
1173,1106.810461,1242.113407
1174,1107.781846,1243.142011
1175,1108.753242,1244.170602
1176,1109.724651,1245.199181
1177,1110.696072,1246.227748
1178,1111.667505,1247.256303
1179,1112.638951,1248.284845
1180,1113.610408,1249.313376
1181,1114.581878,1250.341895
1182,1115.553359,1251.370401
1183,1116.524853,1252.398895
1184,1117.496359,1253.427378
1185,1118.467877,1254.455848
1186,1119.439406,1255.484307
1187,1120.410948,1256.512753
1188,1121.382502,1257.541187
1189,1122.354068,1258.56961
1190,1123.325645,1259.59802
1191,1124.297235,1260.626419
1192,1125.268836,1261.654806
1193,1126.24045,1262.68318
1194,1127.212075,1263.711543
1195,1128.183713,1264.739894
1196,1129.155362,1265.768234
1197,1130.127023,1266.796561
1198,1131.098695,1267.824876
1199,1132.07038,1268.85318
1200,1133.042077,1269.881472
1201,1134.013785,1270.909752
1202,1134.985505,1271.938021
1203,1135.957236,1272.966277
1204,1136.92898,1273.994522
1205,1137.900735,1275.022755
1206,1138.872502,1276.050977
1207,1139.844281,1277.079187
1208,1140.816071,1278.107385
1209,1141.787873,1279.135571
1210,1142.759687,1280.163746
1211,1143.731512,1281.191909
1212,1144.703349,1282.220061
1213,1145.675198,1283.248201
1214,1146.647058,1284.276329
1215,1147.61893,1285.304446
1216,1148.590813,1286.332551
1217,1149.562708,1287.360645
1218,1150.534615,1288.388727
1219,1151.506533,1289.416798
1220,1152.478462,1290.444857
1221,1153.450403,1291.472904
1222,1154.422356,1292.50094
1223,1155.39432,1293.528965
1224,1156.366295,1294.556978
1225,1157.338282,1295.58498
1226,1158.31028,1296.612971
1227,1159.28229,1297.64095
1228,1160.254311,1298.668917
1229,1161.226344,1299.696873
1230,1162.198387,1300.724818
1231,1163.170443,1301.752752
1232,1164.142509,1302.780674
1233,1165.114587,1303.808585
1234,1166.086677,1304.836484
1235,1167.058777,1305.864373
1236,1168.030889,1306.89225
1237,1169.003012,1307.920115
1238,1169.975147,1308.94797
1239,1170.947292,1309.975813
1240,1171.919449,1311.003645
1241,1172.891617,1312.031466
1242,1173.863797,1313.059275
1243,1174.835987,1314.087074
1244,1175.808189,1315.114861
1245,1176.780402,1316.142637
1246,1177.752626,1317.170402
1247,1178.724861,1318.198156
1248,1179.697108,1319.225898
1249,1180.669365,1320.25363
1250,1181.641634,1321.28135
1251,1182.613913,1322.30906
1252,1183.586204,1323.336758
1253,1184.558506,1324.364445
1254,1185.530819,1325.392122
1255,1186.503143,1326.419787
1256,1187.475478,1327.447441
1257,1188.447824,1328.475084
1258,1189.420181,1329.502716
1259,1190.392548,1330.530338
1260,1191.364927,1331.557948
1261,1192.337317,1332.585547
1262,1193.309718,1333.613136
1263,1194.28213,1334.640713
1264,1195.254552,1335.66828
1265,1196.226986,1336.695835
1266,1197.19943,1337.72338
1267,1198.171886,1338.750914
1268,1199.144352,1339.778437
1269,1200.116829,1340.805949
1270,1201.089317,1341.833451
1271,1202.061816,1342.860941
1272,1203.034325,1343.888421
1273,1204.006846,1344.91589
1274,1204.979377,1345.943348
1275,1205.951919,1346.970796
1276,1206.924471,1347.998232
1277,1207.897035,1349.025658
1278,1208.869609,1350.053073
1279,1209.842194,1351.080478
1280,1210.81479,1352.107872
1281,1211.787396,1353.135255
1282,1212.760013,1354.162627
1283,1213.732641,1355.189989
1284,1214.705279,1356.21734
1285,1215.677928,1357.24468
1286,1216.650588,1358.27201
1287,1217.623258,1359.299329
1288,1218.595939,1360.326638
1289,1219.568631,1361.353936
1290,1220.541333,1362.381223
1291,1221.514046,1363.4085
1292,1222.486769,1364.435767
1293,1223.459503,1365.463022
1294,1224.432247,1366.490268
1295,1225.405002,1367.517502
1296,1226.377767,1368.544726
1297,1227.350543,1369.57194
1298,1228.32333,1370.599143
1299,1229.296127,1371.626336
1300,1230.268934,1372.653518
1301,1231.241752,1373.68069
1302,1232.21458,1374.707852
1303,1233.187419,1375.735003
1304,1234.160268,1376.762143
1305,1235.133128,1377.789273
1306,1236.105997,1378.816393
1307,1237.078878,1379.843503
1308,1238.051768,1380.870602
1309,1239.02467,1381.89769
1310,1239.997581,1382.924769
1311,1240.970503,1383.951837
1312,1241.943435,1384.978895
1313,1242.916377,1386.005942
1314,1243.88933,1387.032979
1315,1244.862293,1388.060006
1316,1245.835266,1389.087023
1317,1246.80825,1390.114029
1318,1247.781243,1391.141025
1319,1248.754248,1392.168011
1320,1249.727262,1393.194986
1321,1250.700286,1394.221952
1322,1251.673321,1395.248907
1323,1252.646366,1396.275852
1324,1253.619421,1397.302787
1325,1254.592486,1398.329712
1326,1255.565562,1399.356626
1327,1256.538647,1400.383531
1328,1257.511743,1401.410425
1329,1258.484849,1402.437309
1330,1259.457965,1403.464183
1331,1260.431091,1404.491047
1332,1261.404227,1405.517901
1333,1262.377373,1406.544745
1334,1263.35053,1407.571579
1335,1264.323696,1408.598402
1336,1265.296872,1409.625216
1337,1266.270059,1410.652019
1338,1267.243255,1411.678813
1339,1268.216462,1412.705597
1340,1269.189678,1413.73237
1341,1270.162905,1414.759134
1342,1271.136141,1415.785888
1343,1272.109388,1416.812631
1344,1273.082644,1417.839365
1345,1274.055911,1418.866089
1346,1275.029187,1419.892803
1347,1276.002473,1420.919507
1348,1276.975769,1421.946201
1349,1277.949075,1422.972885
1350,1278.922391,1423.999559
1351,1279.895717,1425.026224
1352,1280.869053,1426.052878
1353,1281.842398,1427.079523
1354,1282.815754,1428.106158
1355,1283.789119,1429.132783
1356,1284.762494,1430.159398
1357,1285.735879,1431.186004
1358,1286.709274,1432.212599
1359,1287.682678,1433.239185
1360,1288.656092,1434.265761
1361,1289.629516,1435.292327
1362,1290.60295,1436.318884
1363,1291.576394,1437.345431
1364,1292.549847,1438.371968
1365,1293.52331,1439.398495
1366,1294.496783,1440.425013
1367,1295.470265,1441.451521
1368,1296.443757,1442.478019
1369,1297.417259,1443.504508
1370,1298.390771,1444.530987
1371,1299.364292,1445.557456
1372,1300.337823,1446.583915
1373,1301.311363,1447.610365
1374,1302.284913,1448.636806
1375,1303.258473,1449.663237
1376,1304.232043,1450.689658
1377,1305.205622,1451.716069
1378,1306.17921,1452.742471
1379,1307.152808,1453.768864
1380,1308.126416,1454.795246
1381,1309.100033,1455.82162
1382,1310.07366,1456.847983
1383,1311.047296,1457.874338
1384,1312.020942,1458.900682
1385,1312.994598,1459.927018
1386,1313.968263,1460.953343
1387,1314.941937,1461.979659
1388,1315.915621,1463.005966
1389,1316.889314,1464.032263
1390,1317.863017,1465.058551
1391,1318.83673,1466.084829
1392,1319.810451,1467.111098
1393,1320.784183,1468.137358
1394,1321.757923,1469.163608
1395,1322.731673,1470.189848
1396,1323.705433,1471.21608
1397,1324.679202,1472.242302
1398,1325.65298,1473.268514
1399,1326.626768,1474.294717
1400,1327.600565,1475.320911
1401,1328.574371,1476.347095
1402,1329.548187,1477.37327
1403,1330.522012,1478.399436
1404,1331.495846,1479.425593
1405,1332.46969,1480.45174
1406,1333.443543,1481.477877
1407,1334.417405,1482.504006
1408,1335.391277,1483.530125
1409,1336.365157,1484.556235
1410,1337.339048,1485.582336
1411,1338.312947,1486.608427
1412,1339.286856,1487.63451
1413,1340.260773,1488.660583
1414,1341.234701,1489.686646
1415,1342.208637,1490.712701
1416,1343.182582,1491.738746
1417,1344.156537,1492.764783
1418,1345.130501,1493.79081
1419,1346.104474,1494.816827
1420,1347.078456,1495.842836
1421,1348.052448,1496.868836
1422,1349.026448,1497.894826
1423,1350.000458,1498.920807
1424,1350.974477,1499.946779
1425,1351.948505,1500.972742
1426,1352.922542,1501.998696
1427,1353.896588,1503.024641
1428,1354.870644,1504.050577
1429,1355.844708,1505.076504
1430,1356.818781,1506.102421
1431,1357.792864,1507.12833
1432,1358.766955,1508.154229
1433,1359.741056,1509.18012
1434,1360.715166,1510.206001
1435,1361.689284,1511.231873
1436,1362.663412,1512.257737
1437,1363.637549,1513.283591
1438,1364.611694,1514.309437
1439,1365.585849,1515.335273
1440,1366.560013,1516.361101
1441,1367.534185,1517.386919
1442,1368.508367,1518.412729
1443,1369.482558,1519.438529
1444,1370.456757,1520.464321
1445,1371.430965,1521.490104
1446,1372.405183,1522.515878
1447,1373.379409,1523.541643
1448,1374.353644,1524.567399
1449,1375.327888,1525.593146
1450,1376.302141,1526.618884
1451,1377.276403,1527.644613
1452,1378.250674,1528.670334
1453,1379.224953,1529.696046
1454,1380.199242,1530.721749
1455,1381.173539,1531.747443
1456,1382.147845,1532.773128
1457,1383.12216,1533.798804
1458,1384.096484,1534.824472
1459,1385.070816,1535.85013
1460,1386.045157,1536.87578
1461,1387.019508,1537.901422
1462,1387.993866,1538.927054
1463,1388.968234,1539.952678
1464,1389.94261,1540.978293
1465,1390.916996,1542.003899
1466,1391.891389,1543.029496
1467,1392.865792,1544.055085
1468,1393.840203,1545.080665
1469,1394.814624,1546.106237
1470,1395.789052,1547.131799
1471,1396.76349,1548.157353
1472,1397.737936,1549.182898
1473,1398.712391,1550.208435
1474,1399.686854,1551.233963
1475,1400.661326,1552.259482
1476,1401.635807,1553.284993
1477,1402.610297,1554.310495
1478,1403.584795,1555.335988
1479,1404.559302,1556.361473
1480,1405.533817,1557.386949
1481,1406.508341,1558.412417
1482,1407.482873,1559.437876
1483,1408.457415,1560.463326
1484,1409.431964,1561.488768
1485,1410.406523,1562.514201
1486,1411.381089,1563.539626
1487,1412.355665,1564.565042
1488,1413.330249,1565.590449
1489,1414.304841,1566.615848
1490,1415.279442,1567.641239
1491,1416.254052,1568.666621
1492,1417.22867,1569.691994
1493,1418.203297,1570.717359
1494,1419.177932,1571.742716
1495,1420.152575,1572.768064
1496,1421.127227,1573.793404
1497,1422.101888,1574.818735
1498,1423.076557,1575.844057
1499,1424.051234,1576.869371
1500,1425.02592,1577.894677
1501,1426.000615,1578.919975
1502,1426.975317,1579.945263
1503,1427.950029,1580.970544
1504,1428.924748,1581.995816
1505,1429.899476,1583.02108
1506,1430.874213,1584.046335
1507,1431.848957,1585.071582
1508,1432.82371,1586.096821
1509,1433.798472,1587.122051
1510,1434.773242,1588.147273
1511,1435.74802,1589.172486
1512,1436.722807,1590.197691
1513,1437.697602,1591.222888
1514,1438.672405,1592.248077
1515,1439.647216,1593.273257
1516,1440.622036,1594.298429
1517,1441.596865,1595.323592
1518,1442.571701,1596.348748
1519,1443.546546,1597.373895
1520,1444.521399,1598.399034
1521,1445.49626,1599.424164
1522,1446.47113,1600.449286
1523,1447.446008,1601.4744
1524,1448.420894,1602.499506
1525,1449.395788,1603.524604
1526,1450.370691,1604.549693
1527,1451.345601,1605.574774
1528,1452.32052,1606.599847
1529,1453.295448,1607.624912
1530,1454.270383,1608.649968
1531,1455.245327,1609.675016
1532,1456.220278,1610.700057
1533,1457.195238,1611.725088
1534,1458.170206,1612.750112
1535,1459.145183,1613.775128
1536,1460.120167,1614.800135
1537,1461.09516,1615.825135
1538,1462.07016,1616.850126
1539,1463.045169,1617.875109
1540,1464.020186,1618.900084
1541,1464.995211,1619.925051
1542,1465.970244,1620.95001
1543,1466.945286,1621.974961
1544,1467.920335,1622.999903
1545,1468.895392,1624.024838
1546,1469.870458,1625.049765
1547,1470.845531,1626.074683
1548,1471.820613,1627.099593
1549,1472.795703,1628.124496
1550,1473.7708,1629.14939
1551,1474.745906,1630.174277
1552,1475.72102,1631.199155
1553,1476.696142,1632.224025
1554,1477.671271,1633.248887
1555,1478.646409,1634.273742
1556,1479.621555,1635.298588
1557,1480.596709,1636.323426
1558,1481.571871,1637.348257
1559,1482.54704,1638.373079
1560,1483.522218,1639.397894
1561,1484.497404,1640.4227
1562,1485.472597,1641.447499
1563,1486.447799,1642.472289
1564,1487.423008,1643.497072
1565,1488.398226,1644.521847
1566,1489.373451,1645.546614
1567,1490.348684,1646.571373
1568,1491.323925,1647.596124
1569,1492.299174,1648.620867
1570,1493.274431,1649.645602
1571,1494.249696,1650.67033
1572,1495.224968,1651.695049
1573,1496.200249,1652.719761
1574,1497.175537,1653.744465
1575,1498.150834,1654.769161
1576,1499.126138,1655.793849
1577,1500.101449,1656.818529
1578,1501.076769,1657.843202
1579,1502.052097,1658.867867
1580,1503.027432,1659.892524
1581,1504.002775,1660.917173
1582,1504.978126,1661.941814
1583,1505.953485,1662.966448
1584,1506.928851,1663.991074
1585,1507.904226,1665.015692
1586,1508.879608,1666.040302
1587,1509.854998,1667.064904
1588,1510.830395,1668.089499
1589,1511.805801,1669.114086
1590,1512.781214,1670.138665
1591,1513.756634,1671.163237
1592,1514.732063,1672.187801
1593,1515.707499,1673.212357
1594,1516.682943,1674.236905
1595,1517.658395,1675.261446
1596,1518.633854,1676.285979
1597,1519.609321,1677.310505
1598,1520.584796,1678.335022
1599,1521.560278,1679.359532
1600,1522.535768,1680.384035
1601,1523.511266,1681.408529
1602,1524.486771,1682.433016
1603,1525.462284,1683.457496
1604,1526.437805,1684.481968
1605,1527.413333,1685.506432
1606,1528.388869,1686.530888
1607,1529.364413,1687.555337
1608,1530.339964,1688.579779
1609,1531.315523,1689.604212
1610,1532.291089,1690.628639
1611,1533.266663,1691.653057
1612,1534.242244,1692.677468
1613,1535.217833,1693.701872
1614,1536.19343,1694.726268
1615,1537.169034,1695.750656
1616,1538.144646,1696.775037
1617,1539.120265,1697.79941
1618,1540.095892,1698.823776
1619,1541.071526,1699.848134
1620,1542.047168,1700.872485
1621,1543.022818,1701.896828
1622,1543.998474,1702.921163
1623,1544.974139,1703.945492
1624,1545.949811,1704.969812
1625,1546.92549,1705.994126
1626,1547.901177,1707.018431
1627,1548.876871,1708.04273
1628,1549.852573,1709.06702
1629,1550.828283,1710.091304
1630,1551.803999,1711.11558
1631,1552.779723,1712.139848
